"TIME","METROREG","AGE","SEX","Value","Flag and Footnotes"
"2003","Hamburg","Total","Total","3,114,842",""
"2004","Hamburg","Total","Total","3,127,008",""
"2005","Hamburg","Total","Total","3,134,620",""
"2006","Hamburg","Total","Total","3,149,377",""
"2007","Hamburg","Total","Total","3,164,346",""
"2008","Hamburg","Total","Total","3,184,610",""
"2009","Hamburg","Total","Total","3,187,338",""
"2010","Hamburg","Total","Total","3,192,336",""
"2011","Hamburg","Total","Total","3,112,650","b"
"2012","Hamburg","Total","Total","3,130,182",""
"2013","Hamburg","Total","Total","3,152,229",""
"2014","Hamburg","Total","Total","3,173,871",""
"2015","Hamburg","Total","Total","3,201,905",""
"2016","Hamburg","Total","Total","3,243,171",""
"2017","Hamburg","Total","Total","3,282,164",""
"2018","Hamburg","Total","Total","3,309,215",""
"2019","Hamburg","Total","Total","3,327,940",""
"1999","München","Total","Total",":",""
"2000","München","Total","Total","2,410,083",""
"2001","München","Total","Total","2,446,014",""
"2002","München","Total","Total","2,483,013",""
"2003","München","Total","Total","2,501,593",""
"2004","München","Total","Total","2,521,332",""
"2005","München","Total","Total","2,531,706",""
"2006","München","Total","Total","2,551,737",""
"2007","München","Total","Total","2,593,707",""
"2008","München","Total","Total","2,623,249",""
"2009","München","Total","Total","2,644,807",""
"2010","München","Total","Total","2,654,726",""
"2011","München","Total","Total","2,649,862","b"
"2012","München","Total","Total","2,690,153",""
"2013","München","Total","Total","2,730,606",""
"2014","München","Total","Total","2,768,488",""
"2015","München","Total","Total","2,804,001",""
"2016","München","Total","Total","2,848,906",""
"2017","München","Total","Total","2,879,107",""
"2018","München","Total","Total","2,883,373",""
"2019","München","Total","Total","2,908,664",""
"1999","Köln","Total","Total",":",""
"2000","Köln","Total","Total","1,851,563",""
"2001","Köln","Total","Total","1,854,892",""
"2002","Köln","Total","Total","1,863,724",""
"2003","Köln","Total","Total","1,867,887",""
"2004","Köln","Total","Total","1,868,077",""
"2005","Köln","Total","Total","1,873,580",""
"2006","Köln","Total","Total","1,886,528",""
"2007","Köln","Total","Total","1,892,907",""
"2008","Köln","Total","Total","1,899,296",""
"2009","Köln","Total","Total","1,898,438",""
"2010","Köln","Total","Total","1,899,930",""
"2011","Köln","Total","Total","1,891,238","b"
"2012","Köln","Total","Total","1,903,646",""
"2013","Köln","Total","Total","1,917,088",""
"2014","Köln","Total","Total","1,930,036",""
"2015","Köln","Total","Total","1,947,165",""
"2016","Köln","Total","Total","1,973,455",""
"2017","Köln","Total","Total","1,987,901",""
"2018","Köln","Total","Total","1,994,524",""
"2019","Köln","Total","Total","2,003,046",""
"1999","Frankfurt am Main","Total","Total",":",""
"2000","Frankfurt am Main","Total","Total","2,481,064",""
"2001","Frankfurt am Main","Total","Total","2,494,485",""
"2002","Frankfurt am Main","Total","Total","2,499,151",""
"2003","Frankfurt am Main","Total","Total","2,509,839",""
"2004","Frankfurt am Main","Total","Total","2,509,130",""
"2005","Frankfurt am Main","Total","Total","2,517,561",""
"2006","Frankfurt am Main","Total","Total","2,520,936",""
"2007","Frankfurt am Main","Total","Total","2,517,539",""
"2008","Frankfurt am Main","Total","Total","2,525,635",""
"2009","Frankfurt am Main","Total","Total","2,531,970",""
"2010","Frankfurt am Main","Total","Total","2,539,597",""
"2011","Frankfurt am Main","Total","Total","2,503,708","b"
"2012","Frankfurt am Main","Total","Total","2,524,900",""
"2013","Frankfurt am Main","Total","Total","2,547,153",""
"2014","Frankfurt am Main","Total","Total","2,573,745",""
"2015","Frankfurt am Main","Total","Total","2,606,836",""
"2016","Frankfurt am Main","Total","Total","2,649,983",""
"2017","Frankfurt am Main","Total","Total","2,671,358",""
"2018","Frankfurt am Main","Total","Total","2,693,115",""
"2019","Frankfurt am Main","Total","Total","2,710,127",""
"1999","Stuttgart","Total","Total",":",""
"2000","Stuttgart","Total","Total","2,601,109",""
"2001","Stuttgart","Total","Total","2,613,379",""
"2002","Stuttgart","Total","Total","2,634,161",""
"2003","Stuttgart","Total","Total","2,649,604",""
"2004","Stuttgart","Total","Total","2,657,426",""
"2005","Stuttgart","Total","Total","2,663,660",""
"2006","Stuttgart","Total","Total","2,667,766",""
"2007","Stuttgart","Total","Total","2,668,833",""
"2008","Stuttgart","Total","Total","2,672,518",""
"2009","Stuttgart","Total","Total","2,674,527",""
"2010","Stuttgart","Total","Total","2,673,463",""
"2011","Stuttgart","Total","Total","2,613,329","b"
"2012","Stuttgart","Total","Total","2,626,864",""
"2013","Stuttgart","Total","Total","2,647,134",""
"2014","Stuttgart","Total","Total","2,668,439",""
"2015","Stuttgart","Total","Total","2,694,009",""
"2016","Stuttgart","Total","Total","2,735,425",""
"2017","Stuttgart","Total","Total","2,757,930",""
"2018","Stuttgart","Total","Total","2,778,591",""
"2019","Stuttgart","Total","Total","2,787,724",""
"1999","Leipzig","Total","Total",":",""
"2000","Leipzig","Total","Total",":",""
"2001","Leipzig","Total","Total",":",""
"2002","Leipzig","Total","Total",":",""
"2003","Leipzig","Total","Total",":",""
"2004","Leipzig","Total","Total",":",""
"2005","Leipzig","Total","Total",":",""
"2006","Leipzig","Total","Total",":",""
"2007","Leipzig","Total","Total",":",""
"2008","Leipzig","Total","Total",":",""
"2009","Leipzig","Total","Total",":",""
"2010","Leipzig","Total","Total",":",""
"2011","Leipzig","Total","Total","966,434","b"
"2012","Leipzig","Total","Total","971,030",""
"2013","Leipzig","Total","Total","978,674",""
"2014","Leipzig","Total","Total","986,504",""
"2015","Leipzig","Total","Total","999,168",""
"2016","Leipzig","Total","Total","1,016,485",""
"2017","Leipzig","Total","Total","1,027,484",""
"2018","Leipzig","Total","Total","1,037,782",""
"2019","Leipzig","Total","Total","1,043,293",""
"1999","Dresden","Total","Total",":",""
"2000","Dresden","Total","Total",":",""
"2001","Dresden","Total","Total",":",""
"2002","Dresden","Total","Total",":",""
"2003","Dresden","Total","Total",":",""
"2004","Dresden","Total","Total",":",""
"2005","Dresden","Total","Total",":",""
"2006","Dresden","Total","Total",":",""
"2007","Dresden","Total","Total",":",""
"2008","Dresden","Total","Total",":",""
"2009","Dresden","Total","Total",":",""
"2010","Dresden","Total","Total",":",""
"2011","Dresden","Total","Total","1,323,358","b"
"2012","Dresden","Total","Total","1,323,895",""
"2013","Dresden","Total","Total","1,326,647",""
"2014","Dresden","Total","Total","1,328,759",""
"2015","Dresden","Total","Total","1,332,577",""
"2016","Dresden","Total","Total","1,342,754",""
"2017","Dresden","Total","Total","1,341,818",""
"2018","Dresden","Total","Total","1,341,986",""
"2019","Dresden","Total","Total","1,343,305",""
"1999","Düsseldorf","Total","Total",":",""
"2000","Düsseldorf","Total","Total","1,518,575",""
"2001","Düsseldorf","Total","Total","1,520,928",""
"2002","Düsseldorf","Total","Total","1,525,471",""
"2003","Düsseldorf","Total","Total","1,527,082",""
"2004","Düsseldorf","Total","Total","1,525,983",""
"2005","Düsseldorf","Total","Total","1,525,029",""
"2006","Düsseldorf","Total","Total","1,524,741",""
"2007","Düsseldorf","Total","Total","1,525,697",""
"2008","Düsseldorf","Total","Total","1,527,682",""
"2009","Düsseldorf","Total","Total","1,527,018",""
"2010","Düsseldorf","Total","Total","1,525,774",""
"2011","Düsseldorf","Total","Total","1,501,419","b"
"2012","Düsseldorf","Total","Total","1,505,300",""
"2013","Düsseldorf","Total","Total","1,510,304",""
"2014","Düsseldorf","Total","Total","1,515,921",""
"2015","Düsseldorf","Total","Total","1,524,809",""
"2016","Düsseldorf","Total","Total","1,545,483",""
"2017","Düsseldorf","Total","Total","1,545,431",""
"2018","Düsseldorf","Total","Total","1,552,097",""
"2019","Düsseldorf","Total","Total","1,555,985",""
"1999","Bremen","Total","Total",":",""
"2000","Bremen","Total","Total","1,229,096",""
"2001","Bremen","Total","Total","1,232,368",""
"2002","Bremen","Total","Total","1,237,815",""
"2003","Bremen","Total","Total","1,242,283",""
"2004","Bremen","Total","Total","1,246,514",""
"2005","Bremen","Total","Total","1,249,291",""
"2006","Bremen","Total","Total","1,250,016",""
"2007","Bremen","Total","Total","1,250,081",""
"2008","Bremen","Total","Total","1,249,566",""
"2009","Bremen","Total","Total","1,247,139",""
"2010","Bremen","Total","Total","1,245,252",""
"2011","Bremen","Total","Total","1,232,628","b"
"2012","Bremen","Total","Total","1,232,112",""
"2013","Bremen","Total","Total","1,234,435",""
"2014","Bremen","Total","Total","1,237,203",""
"2015","Bremen","Total","Total","1,244,205",""
"2016","Bremen","Total","Total","1,259,240",""
"2017","Bremen","Total","Total","1,269,755",""
"2018","Bremen","Total","Total","1,274,611",""
"2019","Bremen","Total","Total","1,277,609",""
"1999","Hannover","Total","Total",":",""
"2000","Hannover","Total","Total","1,279,783",""
"2001","Hannover","Total","Total","1,284,111",""
"2002","Hannover","Total","Total","1,288,586",""
"2003","Hannover","Total","Total","1,292,629",""
"2004","Hannover","Total","Total","1,293,007",""
"2005","Hannover","Total","Total","1,294,447",""
"2006","Hannover","Total","Total","1,294,100",""
"2007","Hannover","Total","Total","1,293,881",""
"2008","Hannover","Total","Total","1,294,211",""
"2009","Hannover","Total","Total","1,292,768",""
"2010","Hannover","Total","Total","1,292,008",""
"2011","Hannover","Total","Total","1,259,578","b"
"2012","Hannover","Total","Total","1,263,245",""
"2013","Hannover","Total","Total","1,268,714",""
"2014","Hannover","Total","Total","1,275,125",""
"2015","Hannover","Total","Total","1,283,884",""
"2016","Hannover","Total","Total","1,300,687",""
"2017","Hannover","Total","Total","1,306,316",""
"2018","Hannover","Total","Total","1,310,558",""
"2019","Hannover","Total","Total","1,315,405",""
"1999","Nürnberg","Total","Total",":",""
"2000","Nürnberg","Total","Total","1,267,621",""
"2001","Nürnberg","Total","Total","1,271,914",""
"2002","Nürnberg","Total","Total","1,279,931",""
"2003","Nürnberg","Total","Total","1,284,398",""
"2004","Nürnberg","Total","Total","1,286,579",""
"2005","Nürnberg","Total","Total","1,288,797",""
"2006","Nürnberg","Total","Total","1,293,257",""
"2007","Nürnberg","Total","Total","1,295,505",""
"2008","Nürnberg","Total","Total","1,298,683",""
"2009","Nürnberg","Total","Total","1,299,016",""
"2010","Nürnberg","Total","Total","1,298,376",""
"2011","Nürnberg","Total","Total","1,271,593","b"
"2012","Nürnberg","Total","Total","1,280,852",""
"2013","Nürnberg","Total","Total","1,290,946",""
"2014","Nürnberg","Total","Total","1,298,810",""
"2015","Nürnberg","Total","Total","1,305,440",""
"2016","Nürnberg","Total","Total","1,324,120",""
"2017","Nürnberg","Total","Total","1,333,043",""
"2018","Nürnberg","Total","Total","1,340,886",""
"2019","Nürnberg","Total","Total","1,349,848",""
"1999","Bielefeld","Total","Total",":",""
"2000","Bielefeld","Total","Total","321,125",""
"2001","Bielefeld","Total","Total","321,758",""
"2002","Bielefeld","Total","Total","323,373",""
"2003","Bielefeld","Total","Total","324,815",""
"2004","Bielefeld","Total","Total","328,452",""
"2005","Bielefeld","Total","Total","328,012",""
"2006","Bielefeld","Total","Total","326,925",""
"2007","Bielefeld","Total","Total","325,846",""
"2008","Bielefeld","Total","Total","324,912",""
"2009","Bielefeld","Total","Total","323,615",""
"2010","Bielefeld","Total","Total","323,084",""
"2011","Bielefeld","Total","Total","327,103","b"
"2012","Bielefeld","Total","Total","327,199",""
"2013","Bielefeld","Total","Total","328,314",""
"2014","Bielefeld","Total","Total","328,864",""
"2015","Bielefeld","Total","Total","329,782",""
"2016","Bielefeld","Total","Total","333,090",""
"2017","Bielefeld","Total","Total","333,451",""
"2018","Bielefeld","Total","Total","332,552",""
"2019","Bielefeld","Total","Total","333,786",""
"1999","Halle an der Saale","Total","Total",":",""
"2000","Halle an der Saale","Total","Total",":",""
"2001","Halle an der Saale","Total","Total",":",""
"2002","Halle an der Saale","Total","Total",":",""
"2003","Halle an der Saale","Total","Total",":",""
"2004","Halle an der Saale","Total","Total",":",""
"2005","Halle an der Saale","Total","Total",":",""
"2006","Halle an der Saale","Total","Total",":",""
"2007","Halle an der Saale","Total","Total","441,866",""
"2008","Halle an der Saale","Total","Total","438,284",""
"2009","Halle an der Saale","Total","Total","434,286",""
"2010","Halle an der Saale","Total","Total","431,348",""
"2011","Halle an der Saale","Total","Total","422,252","b"
"2012","Halle an der Saale","Total","Total","421,241",""
"2013","Halle an der Saale","Total","Total","420,657",""
"2014","Halle an der Saale","Total","Total","419,255",""
"2015","Halle an der Saale","Total","Total","418,980",""
"2016","Halle an der Saale","Total","Total","423,422",""
"2017","Halle an der Saale","Total","Total","423,956",""
"2018","Halle an der Saale","Total","Total","424,667",""
"2019","Halle an der Saale","Total","Total","423,839",""
"1999","Magdeburg","Total","Total",":",""
"2000","Magdeburg","Total","Total",":",""
"2001","Magdeburg","Total","Total",":",""
"2002","Magdeburg","Total","Total",":",""
"2003","Magdeburg","Total","Total",":",""
"2004","Magdeburg","Total","Total",":",""
"2005","Magdeburg","Total","Total",":",""
"2006","Magdeburg","Total","Total",":",""
"2007","Magdeburg","Total","Total","518,751",""
"2008","Magdeburg","Total","Total","515,290",""
"2009","Magdeburg","Total","Total","511,035",""
"2010","Magdeburg","Total","Total","508,513",""
"2011","Magdeburg","Total","Total","499,042","b"
"2012","Magdeburg","Total","Total","497,350",""
"2013","Magdeburg","Total","Total","496,292",""
"2014","Magdeburg","Total","Total","495,697",""
"2015","Magdeburg","Total","Total","496,494",""
"2016","Magdeburg","Total","Total","500,889",""
"2017","Magdeburg","Total","Total","502,440",""
"2018","Magdeburg","Total","Total","501,562",""
"2019","Magdeburg","Total","Total","500,359",""
"1999","Wiesbaden","Total","Total",":",""
"2000","Wiesbaden","Total","Total","453,044",""
"2001","Wiesbaden","Total","Total","454,685",""
"2002","Wiesbaden","Total","Total","455,973",""
"2003","Wiesbaden","Total","Total","457,218",""
"2004","Wiesbaden","Total","Total","457,482",""
"2005","Wiesbaden","Total","Total","459,633",""
"2006","Wiesbaden","Total","Total","459,848",""
"2007","Wiesbaden","Total","Total","459,850",""
"2008","Wiesbaden","Total","Total","460,001",""
"2009","Wiesbaden","Total","Total","460,229",""
"2010","Wiesbaden","Total","Total","460,796",""
"2011","Wiesbaden","Total","Total","448,646","b"
"2012","Wiesbaden","Total","Total","451,458",""
"2013","Wiesbaden","Total","Total","453,547",""
"2014","Wiesbaden","Total","Total","455,061",""
"2015","Wiesbaden","Total","Total","457,233",""
"2016","Wiesbaden","Total","Total","460,332",""
